Name,Team,Min
Junior Adamu,Freiburg,1545
Mohammed Amoura,Wolfsburg,2467
Myron Boadu,Bochum,1042
Victor Boniface,Leverkusen,1008
Jonathan Burkardt,Mainz,2109
Oliver Burke,Werder Bremen,908
Tomás Cvancara,Borussia M.Gladbach,831
Ermedin Demirovic,Stuttgart,1855
Marvin Ducksch,Werder Bremen,2418
Johannes Eggestein,St. Pauli,1853
Hugo Ekitiké,Eintracht Frankfurt,2563
Samuel Essende,Augsburg,1636
Serhou Guirassy,Borussia Dortmund,2598
Phil Harres,Holstein Kiel,1544
Philipp Hofmann,Bochum,2277
Harry Kane,Bayern,2381
Tim Kleindienst,Borussia M.Gladbach,2737
Omar Marmoush,Eintracht Frankfurt,1448
Patrik Schick,Leverkusen,1684
Phillip Tietz,Augsburg,1686
Budu Zivzivadze,FC Heidenheim,958
Maximilian Beier,Borussia Dortmund,1591
Moritz Broschinski,Bochum,1390
Lucas Höler,Freiburg,1867
Benedict Hollerbach,Union Berlin,2540
Shuto Machino,Holstein Kiel,1953
Loïs Openda,RBL,2453
Marvin Pieringer,FC Heidenheim,2206
Benjamin Sesko,RBL,2380
Tiago Tomás,Wolfsburg,1884
Deniz Undav,Stuttgart,1726
Jonas Wind,Wolfsburg,1966
Alassane Pléa,Borussia M.Gladbach,1902
